Date,Meal,Canteen_Section,Food_Category,Waste_Weight_kg,Unit_Price_per_kg,Cost_Loss,Day_of_Week,Day_Num,Is_Weekend,Month,Day,Day_of_Year,temperature,rainfall,holiday,special_event,expected_attendance,actual_attendance,meals_prepared,meals_consumed,surplus_meals,surplus_percentage,previous_day_consumption
2025-06-11,Breakfast,A,Rice,4.59,2.0,9.18,Wednesday,2,0,6,11,162,28.5,0.0,0,0,305,333,343,316,27,7.87,255
2025-06-11,Breakfast,A,Soup,3.21,1.5,4.81,Wednesday,2,0,6,11,162,28.5,0.0,0,0,283,287,322,257,65,20.19,230
2025-06-11,Breakfast,A,Vegetables,2.97,3.0,8.91,Wednesday,2,0,6,11,162,28.5,0.0,0,0,329,342,373,313,60,16.09,204
2025-06-11,Breakfast,B,Meat,0.55,8.0,4.4,Wednesday,2,0,6,11,162,28.5,0.0,0,0,296,320,325,309,16,4.92,286
2025-06-11,Breakfast,B,Rice,2.51,2.0,5.02,Wednesday,2,0,6,11,162,28.5,0.0,0,0,268,276,290,261,29,10.0,233
2025-06-11,Breakfast,B,Soup,1.73,1.5,2.6,Wednesday,2,0,6,11,162,28.5,0.0,0,0,250,241,270,215,55,20.37,198
2025-06-11,Breakfast,B,Vegetables,1.81,3.0,5.43,Wednesday,2,0,6,11,162,28.5,0.0,0,0,248,241,276,225,51,18.48,313
2025-06-11,Breakfast,C,Meat,4.3,8.0,34.4,Wednesday,2,0,6,11,162,28.5,0.0,0,0,220,222,242,219,23,9.5,309
2025-06-11,Breakfast,C,Rice,3.38,2.0,6.76,Wednesday,2,0,6,11,162,28.5,0.0,0,0,232,239,259,233,26,10.04,316
2025-06-11,Breakfast,C,Soup,3.5,1.5,5.25,Wednesday,2,0,6,11,162,28.5,0.0,0,0,217,219,239,195,44,18.41,257
2025-06-11,Breakfast,C,Vegetables,1.72,3.0,5.16,Wednesday,2,0,6,11,162,28.5,0.0,0,0,236,267,258,247,11,4.26,225
2025-06-11,Breakfast,D,Meat,4.73,8.0,37.84,Wednesday,2,0,6,11,162,28.5,0.0,0,0,279,294,302,286,16,5.3,213
2025-06-11,Breakfast,D,Rice,1.51,2.0,3.02,Wednesday,2,0,6,11,162,28.5,0.0,0,0,269,271,304,255,49,16.12,219
2025-06-11,Breakfast,D,Soup,2.8,1.5,4.2,Wednesday,2,0,6,11,162,28.5,0.0,0,0,244,251,267,230,37,13.86,215
